	ModName	FuncName	CodeLine	TotalTime	AvgTime	PctTime	Hits	PctHits	LineText	
49	C:\IG\IG\PRE\FE.frm	Combo1_Click	33	0	0	0.00%	0	0.00%	Option2(Tyd(1, Combo1.ListIndex + 1)) = True	
50	C:\IG\IG\PRE\FE.frm	Combo1_Click	34	0	0	0.00%	0	0.00%	For I = 0 To 1	
51	C:\IG\IG\PRE\FE.frm	Combo1_Click	35	0	0	0.00%	0	0.00%	Text2(I) = Tyd(I + 2, Combo1.ListIndex + 1)	
52	C:\IG\IG\PRE\FE.frm	Command1_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
53	C:\IG\IG\PRE\FE.frm	Command1_Click	2	0	0	0.00%	0	0.00%	FTfE.Show (1)	
54	C:\IG\IG\PRE\FE.frm	Command1_Click	3	0	0	0.00%	0	0.00%	For I = 0 To 3	
55	C:\IG\IG\PRE\FE.frm	Command1_Click	4	0	0	0.00%	0	0.00%	Option1(I) = False	
56	C:\IG\IG\PRE\FE.frm	Command1_Click	5	0	0	0.00%	0	0.00%	For I = 0 To 4	
57	C:\IG\IG\PRE\FE.frm	Command1_Click	6	0	0	0.00%	0	0.00%	Option2(I) = False	
58	C:\IG\IG\PRE\FE.frm	DiMalla	3	0	0	0.00%	0	0.00%	For I = 2 To L2	
59	C:\IG\IG\PRE\FE.frm	Combo1_Click	27	0	0	0.00%	0	0.00%	Text2(I) = Tyi(I + 2, Combo1.ListIndex + 1)	
60	C:\IG\IG\PRE\FE.frm	Option1_Click	3	0	0	0.00%	0	0.00%	Case Option1(0)	
61	C:\IG\IG\PRE\FE.frm	DiMalla	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
62	C:\IG\IG\PRE\FE.frm	Form_Load	15	0	0	0.00%	0	0.00%	For I = 1 To Ndyd	
63	C:\IG\IG\PRE\FE.frm	Form_Load	16	0	0	0.00%	0	0.00%	Tyd(1, I) = 0	
64	C:\IG\IG\PRE\FE.frm	Form_Load	17	0	0	0.00%	0	0.00%	Tyd(2, I) = 0	
65	C:\IG\IG\PRE\FE.frm	Form_Load	18	0	0	0.00%	0	0.00%	Tyd(3, I) = 0	
66	C:\IG\IG\PRE\FE.frm	Frame1_DragDrop	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
67	C:\IG\IG\PRE\FE.frm	Frame2_DragDrop	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
68	C:\IG\IG\PRE\FE.frm	Frame3_DragDrop	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
69	C:\IG\IG\PRE\FE.frm	Frame4_DragDrop	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
70	C:\IG\IG\PRE\FE.frm	Label1_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
71	C:\IG\IG\PRE\FE.frm	Label2_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
72	C:\IG\IG\PRE\FE.frm	Label3_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
73	C:\IG\IG\PRE\FE.frm	Form_Load	13	0	0	0.00%	0	0.00%	Txs(2, I) = 0	
74	C:\IG\IG\PRE\FE.frm	Option1_Click	2	0	0	0.00%	0	0.00%	Call LlenarC	
75	C:\IG\IG\PRE\FE.frm	Form_Load	12	0	0	0.00%	0	0.00%	Txs(1, I) = 0	
76	C:\IG\IG\PRE\FE.frm	Option1_Click	4	0	0	0.00%	0	0.00%	Option2(Txi(1, Combo1.ListIndex + 1)) = True	
77	C:\IG\IG\PRE\FE.frm	Option1_Click	5	0	0	0.00%	0	0.00%	Case Option1(1)	
78	C:\IG\IG\PRE\FE.frm	Option1_Click	6	0	0	0.00%	0	0.00%	Option2(Tyi(1, Combo1.ListIndex + 1)) = True	
79	C:\IG\IG\PRE\FE.frm	Option1_Click	7	0	0	0.00%	0	0.00%	Case Option1(2)	
80	C:\IG\IG\PRE\FE.frm	Option1_Click	8	0	0	0.00%	0	0.00%	Option2(Txs(1, Combo1.ListIndex + 1)) = True	
81	C:\IG\IG\PRE\FE.frm	Option1_Click	9	0	0	0.00%	0	0.00%	Case Option1(3)	
82	C:\IG\IG\PRE\FE.frm	Option1_Click	10	0	0	0.00%	0	0.00%	Option2(Tyd(1, Combo1.ListIndex + 1)) = True	
83	C:\IG\IG\PRE\FE.frm	Option2_Click	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
84	C:\IG\IG\PRE\FE.frm	Option2_Click	2	0	0	0.00%	0	0.00%	Case 0	
